dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,176,1669,learned,176,45,1,113,7.75,201,2488,1510,2000,44,1,0.64923,1e-06,,,0.22626,44,1,1,0.11757,0,,,,,,,0,,,,1.0346,,,,1.7033,,0.028729,,0.20238,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,177,1681,learned,177,8,8,1106,14.32,204,2491,1543,2000,98,0.056128,0.59294,0.21618,-1.7429,,0.15331,0,,,,120,0.042527,0.72159,0.17589,-3.1024,,0.22499,0,,,,1.0838,2.0689,,,1.1064,0.75644,0.030812,0.099352,0.13658,0.30273,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,178,1685,learned,178,3,3,42,0.48,205,2492,1543,2000,6,0.1967,0.68118,0.49579,-0.37392,,0.086722,0,,,,0,,,,,,,0,,,,,,,,,,,,0.20926,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,179,1700,learned,179,18,1,54,3.21,205,2511,1543,2000,18,0.96519,0.63678,0.15108,-3.215,1,0.20888,17,1.0588,1,0.15995,0,,,,,,,0,,,,1.057,,1.0644,,1.4665,,0.0507,,0.052599,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,180,1704,learned,180,2,1,3,0.18,205,2513,1543,2000,1,1,0.62359,1e-06,,,0.21528,1,1,1,0.25,0,,,,,,,0,,,,1.093,,,,1.0835,,0.04215,,0.03944,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,181,1725,learned,181,9,1,20,1.15,205,2522,1543,2000,8,1,0.75633,1e-06,,,0.27929,8,1,1,0.095511,0,,,,,,,0,,,,1.1057,,,,0.8899,,0.056177,,0.05789,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,182,1736,learned,182,19,1,18,2.4,205,2541,1543,2000,18,1,0.63264,1e-06,,,0.2198,18,1,1,0.053748,0,,,,,,,0,,,,1.0557,,,,0.71463,,0.043828,,0.12402,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,183,1795,learned,183,8,3,75,1.07,205,2550,1543,2000,15,0.62307,0.69003,0.66254,-0.041485,0.18,0.085787,5,1.8,2,-0.094405,0,,,,,,,0,,,,1.0861,,1.4837,,0.84482,,0.041255,,0.073636,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,184,1802,learned,184,7,1,13,0.6,205,2558,1543,2000,7,0.86504,0.63972,0.3957,-0.61669,1,0.21633,6,1.1667,1,0.0875,0,,,,,,,0,,,,1.0938,,1.0898,,1.1642,,0.048551,,0.091924,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,185,1830,learned,185,15,15,2002,18.21,211,2564,1603,2000,197,0.015788,0.72143,0.081159,-7.8891,,0.24988,0,,,,185,0.022563,0.76185,0.10785,-6.0637,,0.26333,0,,,,1.1261,2.17,,,0.64749,0.91332,0.050541,0.097169,0.059865,0.29706,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,186,1833,learned,186,11,2,37,1.12,211,2576,1603,2000,13,0.79823,0.67379,0.50284,-0.33997,0.66667,0.18278,9,1.2222,1,0.12705,0,,,,,,,0,,,,1.1091,,1.0804,,1.1213,,0.051139,,0.12612,,,
